PLAYER_NAME;MIN;FGM;FGA;FG3M;FG3A;FTM;FTA;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;DD2;TD3;PACE;PIE;POSS
Dru Smith;140.02;17;35;9;17;0;0;10;18;28;13;9;8;5;1;14;3;43;0;0;905.82;0.841;289
Duncan Robinson;478.44;83;200;54;139;15;18;8;40;48;47;17;11;3;13;45;17;235;0;0;2056.19;1.35;976
Duop Reath;83.11;10;26;7;19;0;0;6;7;13;3;1;0;2;0;10;0;27;0;0;1361.14;-0.35499999999999987;182
Dwight Powell;154.18;8;10;0;0;17;24;12;22;34;13;5;7;8;1;26;22;33;0;0;1983.94;0.527;329
Dyson Daniels;811.39;135;302;29;93;24;37;42;78;120;80;43;73;22;13;66;43;323;1;0;2534.58;1.968;1781
E.J. Liddell;30.52;5;8;3;6;2;2;1;4;5;3;2;1;1;0;8;1;15;0;0;772.27;0.304;74
Elfrid Payton;143.77;23;46;0;1;1;2;5;19;24;48;20;10;3;4;10;2;47;1;0;713.27;0.665;305
Enrique Freeman;110.97;8;18;1;5;5;9;3;9;12;6;4;2;2;2;15;11;22;0;0;1672.49;2.047;256
Eric Gordon;263.86;25;77;10;42;17;22;3;12;15;21;13;10;5;9;13;16;77;0;0;1589.83;0.554;546
Evan Mobley;735.64;169;303;22;55;78;98;54;164;218;64;52;26;37;24;50;82;438;11;0;2447.9;3.584;1558
Franz Wagner;829.0;220;473;51;159;119;135;23;117;140;142;61;43;12;30;58;110;610;2;0;2445.0099999999998;4.271;1679
Fred VanVleet;808.23;127;330;56;177;49;59;13;81;94;136;31;34;10;11;57;53;359;3;0;2269.95;2.3729999999999998;1655
Gabe Vincent;454.24;36;103;16;61;4;8;7;19;26;20;11;21;2;4;45;14;92;0;0;2413.51;0.109;952
Garrett Temple;31.34;2;6;1;2;0;0;1;3;4;5;1;4;1;0;6;0;5;0;0;909.08;0.6179999999999999;72
Garrison Mathews;343.46;43;99;37;83;26;31;3;18;21;27;10;13;3;2;34;28;149;0;0;2043.77;1.141;748
Gary Harris;281.69;24;60;17;46;4;6;9;14;23;7;7;9;5;1;13;3;69;0;0;1697.32;0.65;585
Gary Payton II;324.68;51;93;4;27;6;11;28;39;67;29;14;19;9;7;34;14;112;0;0;2473.27;2.112;688
Gary Trent Jr.;570.97;69;166;45;112;21;23;3;41;44;22;12;20;0;4;50;21;204;0;0;2171.25;0.9430000000000001;1177
Georges Niang;514.38;80;173;41;114;10;13;15;81;96;31;25;9;5;7;56;12;211;0;0;2542.62;1.794;1093
Giannis Antetokounmpo;771.9;284;464;3;17;149;244;45;205;250;132;76;13;32;29;53;186;720;18;3;2207.02;4.589;1606
